izvor,sekcija,kljuc,sr,en,ru,hr,hu
"interfejs","nav","nav.pocetna","Početna","Home","Главная","Početna","Főoldal"
"interfejs","nav","nav.sistem","Sistem","System","Система","Sustav","Rendszer"
"interfejs","nav","nav.novcanik","POEN","POEN","ПОЕН","POEN","POEN"
"interfejs","nav","nav.pijaca","Pijaca","Marketplace","Рынок","Pijaca","Piac"
"interfejs","nav","nav.programi","Programi","Programs","Программы","Programi","Programok"
"interfejs","nav","nav.zrno","ZRNO","ZRNO","ЗРНО","ZRNO","Szem"
"interfejs","nav","nav.donacije","Donacije","Donations","Пожертвования","Donacije","Adományok"
"interfejs","nav","nav.verifikacija","Potvrde","Confirmation","Подтверждение","Potvrda","Ellenőrzés"
"interfejs","nav","nav.admin","Admin","Admin","Админ","Admin","Admin"
"interfejs","nav","nav.verifikuj_nalog","Zamoli za potvrdu →","Request confirmation →","Запросить подтверждение →","Zatraži potvrdu →","Ellenőrzés kérése →"
"interfejs","nav","nav.doprinos","Zadaci","Tasks","Задачи","Zadaci","Feladatok"
"interfejs","nav","nav.postani_pokrovitelj","Pokrovitelj","Sponsor","Покровитель","Pokrovitelj","Szponzor"
"interfejs","nav","nav.nadzor","Nadzor","Supervision","Надзор","Nadzor","Felügyelet"
"interfejs","nav","nav.grupa_ekonomija","Ekonomija","Economy","Экономика","Ekonomija","Gazdaság"
"interfejs","nav","nav.grupa_poverenje","Poverenje","Trust","Доверие","Povjerenje","Bizalom"
"interfejs","nav","nav.grupa_podrzi","Podrži KOLO","Support KOLO","Поддержать КОЛО","Podrži KOLO","Támogasd a KOLO-t"
"interfejs","nav","nav.grupa_zajednicko_dobro","Zajedničko dobro","Common good","Общее благо","Zajedničko dobro","Közjó"
"interfejs","nav","nav.faq","Česta pitanja","FAQ","Частые вопросы","Česta pitanja","Gyakori kérdések"
"interfejs","header","header.moj_profil","Moj profil","My profile","Мой профиль","Moj profil","Profilom"
"interfejs","header","header.podesi_profil","Podesi profil","Edit profile","Настроить профиль","Uredi profil","Profil szerkesztése"
"interfejs","header","header.odjavi_se","Odjavi se","Sign out","Выйти","Odjavi se","Kijelentkezés"
"interfejs","header","header.ucitavanje","Učitavam...","Loading...","Загружаю...","Učitavam...","Betöltés..."
"interfejs","header","header.obavestenja","Obaveštenja","Notifications","Уведомления","Obavijesti","Értesítések"
"interfejs","header","header.nema_obavestenja","Nema obaveštenja.","No notifications.","Уведомлений нет.","Nema obavijesti.","Nincs értesítés."
"interfejs","header","header.oznaci_procitane","Označi sve kao pročitano","Mark all as read","Отметить все как прочитанные","Označi sve kao pročitano","Mind olvasottnak jelöl"
"interfejs","header","header.aria_meni","Meni","Menu","Меню","Izbornik","Menü"
"interfejs","header","header.upisi_poen","Prepiši POEN","Re-register POEN","Переписать ПОЕН","Prepiši POEN","POEN átírása"
"interfejs","header","header.bagovi","Prijavi grešku","Report a bug","Сообщить об ошибке","Prijavi grešku","Hiba bejelentése"
